============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 22 2025  11:35:24 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    Leakage     Internal                                     Library 
   Gate    Instances     Area     Power (nW)   Power (nW)                Library              Domain 
MU2X0          15521   334024.337     42.931   26313005.614    D_CELLS_MOSST_fast_1_98V_m40C       2 
MU2X1              1       24.595      0.002       5630.545    D_CELLS_MOSST_fast_1_98V_m40C       2 
MU2X2             42     1032.998      0.090     439572.573    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2I1X0          621     7636.810      1.009    1289087.988    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2I1X1          214     3289.608      0.241     659987.211    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2I1X2           26      479.606      0.036     171647.768    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2I1X4           13      399.672      0.033     267079.396    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X1           1338    12340.642      0.610    2690980.676    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X2            279     4288.788      0.255    1404923.685    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X4             44     1352.736      0.080     450021.304    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I1X0            7      107.604      0.010      11726.982    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I1X2            8      221.357      0.010     107334.736    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I2X1            6      129.125      0.010      42582.316    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I2X2            2       61.488      0.003      26772.692    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I2X4            1       49.190      0.003      21285.251    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3X1            213     2619.389      0.056     939867.996    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3X2             24      590.285      0.013     238487.641    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA4X1              3       83.009      0.006       2936.649    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA5I1X1            2       67.637      0.005      12035.117    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA5I3X1            1       33.818      0.003       8736.485    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA6I1X1            2       73.786      0.005      11139.391    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA6I2X1            1       43.042      0.003       6809.186    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA6I3X1            1       36.893      0.003       8455.123    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA6X1              2       67.637      0.004      11288.251    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X0            1       12.298      0.002       1459.876    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X1         1127    13859.395      1.333    3951048.158    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X2           11      236.729      0.017     128205.464    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X4           15      461.160      0.033     215689.711    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X0              8       73.786      0.006        920.227    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X1           1999    18437.177      1.027    4045518.409    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X2            346     5318.712      0.356    1682389.091    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X4             56     1549.498      0.082     591684.351    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3I1X0            5       76.860      0.007       6542.360    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3I1X1            5       92.232      0.005      40438.159    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3X0              7       86.083      0.004       4199.542    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3X1             19      292.068      0.007      52764.868    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3X2              6      147.571      0.004      49669.632    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3X4              1       39.967      0.001      18694.004    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO4I1X1            1       30.744      0.003       4201.076    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO4I2X1            1       30.744      0.002       3033.196    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO4X2              3       92.232      0.005      17110.247    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO5I2X1            2       67.637      0.004       1864.062    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO5I3X1            2       67.637      0.004      11422.507    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO6I4X1            2       86.083      0.006      13560.399    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X0            26      399.672      0.041      70713.944    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X1             4       73.786      0.004      22979.259    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X2            34      731.707      0.048     282697.236    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X4             1       27.670      0.002      10437.572    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA22X0             4       73.786      0.008       1343.340    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA22X1             8      172.166      0.010      36890.096    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA22X2            10      245.952      0.017     130526.167    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA32X0             1       21.521      0.002       1755.434    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON211X0            2       30.744      0.002        689.944    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON21X0           140     1721.664      0.145     190527.264    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON21X1           275     4227.300      0.161     912562.744    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON221X0           35      645.624      0.035      63607.561    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON222X0            2       43.042      0.002        714.095    D_CELLS_MOSST_fast_1_98V_m40C       2 
