============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:25:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage      Internal                                     Library 
  Gate   Instances     Area      Power (nW)   Power (nW)                Library              Domain 
NA2I1X4          4      122.976      15.145      21860.879    D_CELLS_MOSST_slow_1_62V_125C       0 
NA2X1          555     5118.876     361.503     467268.568    D_CELLS_MOSST_slow_1_62V_125C       0 
NA2X2           56      860.832      72.778     122728.308    D_CELLS_MOSST_slow_1_62V_125C       0 
NA2X4            8      245.952      20.793      14864.848    D_CELLS_MOSST_slow_1_62V_125C       0 
NA3I1X0          9      138.348      12.770       3299.436    D_CELLS_MOSST_slow_1_62V_125C       0 
NA3X1          190     2336.544     122.884     412548.889    D_CELLS_MOSST_slow_1_62V_125C       0 
NA4X1            4      110.678       7.233       2657.927    D_CELLS_MOSST_slow_1_62V_125C       0 
NA5I2X1          1       33.818       2.567       2899.663    D_CELLS_MOSST_slow_1_62V_125C       0 
NA5I3X1          1       33.818       2.649       3770.086    D_CELLS_MOSST_slow_1_62V_125C       0 
NA5X1            1       30.744       1.679       1828.257    D_CELLS_MOSST_slow_1_62V_125C       0 
NA6I3X1          6      221.357      15.207      18755.817    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2I1X0          1       12.298       1.562        630.021    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2I1X1        448     5509.325     537.244     746192.103    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2I1X2          5      107.604       9.112      11880.836    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2I1X4          1       30.744       3.666       4646.760    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2X0            8       73.786       6.355        760.110    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2X1         1152    10625.126     755.063     910836.476    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2X2           96     1475.712     125.575     268464.854    D_CELLS_MOSST_slow_1_62V_125C       0 
NO2X4           64     1770.854     172.617     507695.915    D_CELLS_MOSST_slow_1_62V_125C       0 
NO3I1X0          7      107.604       9.756       2609.461    D_CELLS_MOSST_slow_1_62V_125C       0 
NO3I2X2          4      135.274       8.894      38141.103    D_CELLS_MOSST_slow_1_62V_125C       0 
NO3X0           10      122.976       6.262       3744.619    D_CELLS_MOSST_slow_1_62V_125C       0 
NO4I1X1          2       61.488       4.975       4822.111    D_CELLS_MOSST_slow_1_62V_125C       0 
