============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:26:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                   Library 
  Gate   Instances     Area     Power (nW)   Power (nW)               Library             Domain 
NA2I1X4          4      122.976      0.427      27041.192    D_CELLS_MOSST_typ_1_80V_25C       1 
NA2X1          555     5118.876     10.521     580233.974    D_CELLS_MOSST_typ_1_80V_25C       1 
NA2X2           56      860.832      2.123     149663.363    D_CELLS_MOSST_typ_1_80V_25C       1 
NA2X4            8      245.952      0.607      18062.357    D_CELLS_MOSST_typ_1_80V_25C       1 
NA3I1X0          9      138.348      0.421       3937.435    D_CELLS_MOSST_typ_1_80V_25C       1 
NA3X1          190     2336.544      3.198     503106.726    D_CELLS_MOSST_typ_1_80V_25C       1 
NA4X1            4      110.678      0.261       3255.936    D_CELLS_MOSST_typ_1_80V_25C       1 
NA5I2X1          1       33.818      0.093       3557.807    D_CELLS_MOSST_typ_1_80V_25C       1 
NA5I3X1          1       33.818      0.096       4613.826    D_CELLS_MOSST_typ_1_80V_25C       1 
NA5X1            1       30.744      0.060       2255.747    D_CELLS_MOSST_typ_1_80V_25C       1 
NA6I3X1          6      221.357      0.550      22918.126    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2I1X0          1       12.298      0.051        758.028    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2I1X1        448     5509.325     17.806     922966.560    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2I1X2          5      107.604      0.281      14657.353    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2I1X4          1       30.744      0.098       5731.489    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2X0            8       73.786      0.206        910.706    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2X1         1152    10625.126     22.553    1108204.732    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2X2           96     1475.712      3.759     327090.073    D_CELLS_MOSST_typ_1_80V_25C       1 
NO2X4           64     1770.854      4.605     612304.743    D_CELLS_MOSST_typ_1_80V_25C       1 
NO3I1X0          7      107.604      0.317       3058.999    D_CELLS_MOSST_typ_1_80V_25C       1 
NO3I2X2          4      135.274      0.267      46625.811    D_CELLS_MOSST_typ_1_80V_25C       1 
NO3X0           10      122.976      0.198       4394.865    D_CELLS_MOSST_typ_1_80V_25C       1 
NO4I1X1          2       61.488      0.172       5875.965    D_CELLS_MOSST_typ_1_80V_25C       1 
NO4X2            2       61.488      0.128       3576.643    D_CELLS_MOSST_typ_1_80V_25C       1 
NO5I1X1          2       67.637      0.160       5956.539    D_CELLS_MOSST_typ_1_80V_25C       1 
NO5I2X1          2       67.637      0.133       1049.945    D_CELLS_MOSST_typ_1_80V_25C       1 
NO5I3X1          3      101.455      0.193       8731.536    D_CELLS_MOSST_typ_1_80V_25C       1 
NO6I1X0          1       39.967      0.120       1727.491    D_CELLS_MOSST_typ_1_80V_25C       1 
NO6I2X0          3      119.902      0.329       5441.128    D_CELLS_MOSST_typ_1_80V_25C       1 
NO6I3X0          1       43.042      0.135       4189.569    D_CELLS_MOSST_typ_1_80V_25C       1 
NO6X0            2       67.637      0.123       4028.637    D_CELLS_MOSST_typ_1_80V_25C       1 
OA21X0          23      353.556      1.206      35260.134    D_CELLS_MOSST_typ_1_80V_25C       1 
OA21X1          15      276.696      0.527      58951.202    D_CELLS_MOSST_typ_1_80V_25C       1 
OA21X2          26      559.541      1.307     158508.617    D_CELLS_MOSST_typ_1_80V_25C       1 
OA221X2          2       55.339      0.097      14647.241    D_CELLS_MOSST_typ_1_80V_25C       1 
OA222X1          4      110.678      0.167       6926.313    D_CELLS_MOSST_typ_1_80V_25C       1 
