============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:27:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                     Library 
  Gate   Instances     Area     Power (nW)   Power (nW)                Library              Domain 
NA2I1X2         11      202.910      0.015      43569.610    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2I1X4          4      122.976      0.010      33917.923    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X1          555     5118.876      0.253     742256.418    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X2           56      860.832      0.051     185254.223    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA2X4            8      245.952      0.015      22438.750    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3I1X0          9      138.348      0.013       4926.978    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA3X1          190     2336.544      0.050     630508.315    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA4X1            4      110.678      0.008       4132.690    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA5I2X1          1       33.818      0.003       4456.291    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA5I3X1          1       33.818      0.003       5706.681    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA5X1            1       30.744      0.002       2816.083    D_CELLS_MOSST_fast_1_98V_m40C       2 
NA6I3X1          6      221.357      0.018      28367.235    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X0          1       12.298      0.002        952.687    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X1        448     5509.325      0.530    1187063.033    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X2          5      107.604      0.008      18443.210    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2I1X4          1       30.744      0.002       7159.663    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X0            8       73.786      0.006       1128.148    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X1         1152    10625.126      0.592    1409546.315    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X2           96     1475.712      0.099     402840.074    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO2X4           64     1770.854      0.094     750585.661    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3I1X0          7      107.604      0.010       3700.050    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3I2X2          4      135.274      0.007      56506.035    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO3X0           10      122.976      0.006       5310.782    D_CELLS_MOSST_fast_1_98V_m40C       2 
